,,,Check List,,Pengaturan,Start,End,,Count,
Switch,Semua,TRUE,,,,,,,,
Total,,,TRUE,Jumlah Isolat,Termasuk,,,,,
Sort By,,,TRUE,Urutan,Naik,,,,Tolerance,3
,,,TRUE,Tanggal,Dalam,9/20/2023,9/26/2023,,Sample,6
,,,TRUE,Jenis Kelamin,Laki-laki,,,,Bakteri,33
,,,TRUE,Usia,Dalam,2,100,,Gram Positif,14
,,,TRUE,Representatif,Representatif,,,,Gram Negatif,19
,,,TRUE,Berdasarkan,Bakteri,,,,Obat,91
Include,Sample,,TRUE,Sputum,,,,,Carbapenems,26
,,,TRUE,Darah,,,,,Aztreonam,1
,,,TRUE,Urin,,,,,Fluoroquinolone,4
,,,TRUE,Feses,,,,,Parenteral Cephalosporins,37
,,,TRUE,Swab Dasar Luka/Pus,,,,,Aminoglyco,5
,,,TRUE,Cairan tubuh lain,,,,,Lincosamide,1
,Tolerance,TRUE,TRUE,S,,,,,Macrolides,4
,,,TRUE,I,,,,,Tetracyclines,4
,,,TRUE,R,,,,,Glycopeptida,2
Bakteri,Gram Positif,TRUE,TRUE,Enterococcus faecalis,,,,,Ox-lid,3
,,,TRUE,Enterococcus faecium,,,,,Other,4
,,,TRUE,Gemella haemolysans,,,,,,
,,,TRUE,Kocuria kristiane,,,,,,
,,,TRUE,Staphylococcus aureus (MRSA),,,,,,
,,,TRUE,Staphylococcus capitis,,,,,,
,,,TRUE,Staphylococcus epidermidis,,,,,,
,,,TRUE,Staphylococcus haemolyticus,,,,,,
,,,TRUE,Staphylococcus hominis ssp hominis,,,,,,
,,,TRUE,Staphylococcus sciuri,,,,,,
,,,TRUE,Streptrococcus agalactiae,,,,,,
,,,TRUE,Streptrococcus anginosus,,,,,,
,,,TRUE,Streptrococcus sanguinis,,,,,,
,,,TRUE,Streptrococcus parasanguinis,,,,,,
,Gram Negatif,TRUE,TRUE,Acinetobacter baumanii,,,,,,
,,,TRUE,Acinetobacter junii,,,,,,
,,,TRUE,Achromobacter denitrificans,,,,,,
,,,TRUE,Burkholderia cepacia,,,,,,
,,,TRUE,Burkholderia pseudomallei,,,,,,
,,,TRUE,Enterobacter cloacae complex,,,,,,
,,,TRUE,Escherichia coli (ESBL),,,,,,
,,,TRUE,Klebsiella oxytoca,,,,,,
,,,TRUE,Klebsiella Pneumoniae,,,,,,
,,,TRUE,Klebsiella Pneumoniae ssp pneumoniae,,,,,,
,,,TRUE,Klebsiella Pneumoniae ssp ozaenae,,,,,,
,,,TRUE,Myroides ssp,,,,,,
,,,TRUE,Proteus mirabilis,,,,,,
,,,TRUE,Pseudomonas aeruginosa,,,,,,
,,,TRUE,Pseudomonas fluorescens,,,,,,
,,,TRUE,Raoultella ornithinolytica,,,,,,
,,,TRUE,Salmonella Typhii,,,,,,
,,,TRUE,Sphingomonas paucimobilis,,,,,,
,,,TRUE,Stenotrophomonas maltophillia,,,,,,
Obat,Carbapenems,TRUE,TRUE,loracarbef,,,,,,
,,,TRUE,Oxacilin,,,,,,
,,,TRUE,Methicilin,,,,,,
,,,TRUE,Flucloxacilin,,,,,,
,,,TRUE,Dicloxacilin,,,,,,
,,,TRUE,cloxacilin,,,,,,
,,,TRUE,Piperacilin,,,,,,
,,,TRUE,Piperacilin/Tazobactam,,,,,,
,,,TRUE,Mezlocilin,,,,,,
,,,TRUE,Azlocilin,,,,,,
,,,TRUE,Ticarcilin/clavunalic acid,,,,,,
,,,TRUE,Ticarcilin,,,,,,
,,,TRUE,Carbenicilin,,,,,,
,,,TRUE,Nafcilin,,,,,,
,,,TRUE,Benzylpenicilin,,,,,,
,,,TRUE,Penicillin G,,,,,,
